ID,critical_distance,direction,bearing
1440,13, buffer,999
1441,13, buffer,999
1442,13, buffer,999
1443,13, buffer,999
1444,13, buffer,999
2206,13, buffer,999
2207,13, buffer,999
2208,13, buffer,999
2209,13, buffer,999
2210,13, buffer,999
2211,13, buffer,999
2212,13, buffer,999
2213,13, buffer,999
2214,13, buffer,999
2215,13, buffer,999
2216,13, buffer,999
2217,13, buffer,999
2218,13, buffer,999
2219,13, buffer,999
3693,14, buffer,999
3694,14, buffer,999
3695,14, buffer,999
4752,16, buffer,999
1142,12, E,90
1143,12, E,90
1144,12, E,90
1145,12, E,90
1146,12, E,90
1147,12, E,90
1148,12, E,90
1149,12, E,90
1150,12, E,90
1151,12, E,90
1152,12, E,90
1153,12, E,90
1154,12, E,90
1155,12, E,90
1156,12, E,90
1157,12, E,90
1158,12, E,90
1159,12, E,90
1160,12, E,90
1161,12, E,90
1162,12, E,90
1163,12, E,90
1164,12, E,90
1165,12, E,90
1166,12, E,90
1167,12, E,90
1168,12, E,90
1169,12, E,90
1170,12, E,90
1171,12, E,90
1172,12, E,90
1173,12, E,90
1174,12, E,90
1175,12, E,90
1176,12, E,90
1177,12, E,90
1178,12, E,90
1179,12, E,90
1180,12, E,90
1181,12, E,90
1182,12, E,90
1183,12, E,90
1184,12, E,90
1185,12, E,90
1186,12, E,90
1187,12, E,90
1188,12, E,90
1189,12, E,90
1190,12, E,90
1191,12, E,90
1192,12, E,90
1193,12, E,90
1194,12, E,90
1195,12, E,90
1196,12, E,90
1197,12, E,90
1198,12, E,90
1199,12, E,90
1200,12, E,90
1742,13, E,90
1743,13, E,90
1744,13, E,90
1745,13, E,90
1746,13, E,90
1747,13, E,90
1748,13, E,90
1749,13, E,90
1750,13, E,90
1751,13, E,90
1752,13, E,90
1753,13, E,90
1754,13, E,90
1755,13, E,90
1756,13, E,90
1757,13, E,90
1758,13, E,90
1759,13, E,90
1760,13, E,90
1761,13, E,90
1762,13, E,90
1763,13, E,90
